activity,type,date,location,country,length (days),explaination
gigante surfing,surfing,03/23/2025,Gigante,Nicaragua,0.1,first surf in a while. didn't go so great
gigante surfing,surfing,03/24/2025,Gigante,Nicaragua,0.1,"surf went better, but the waves closed out quite aggresively. playa amarillo"
gigante surfing,surfing,03/25/2025,Gigante,Nicaragua,0.1,"last surf in gigante, and it went best out of all of them. caught a few"
el transito surfing,surfing,03/26/2025,El Transito,Nicaragua,0.1,first surf in transito. got some help from the argentinian guy to find nice waves. caught some good ones
kizzie yoga,yoga,03/26/2025,El Transito,Nicaragua,0.1,relaxing yoga session
el transito surfing,surfing,03/27/2025,El Transito,Nicaragua,0.25,got crushed set after set after set. not a day I enjoyed
kizzie yoga,yoga,03/28/2025,El Transito,Nicaragua,0.1,relaxing yoga session with some breath work after
el transito surfing,surfing,03/28/2025,El Transito,Nicaragua,0.25,nice long session enjoying the chill waves and non crushing sets. Caught a few nice ones. piece of shit board that was already a bit broken broke more. 
kizzie yoga,yoga,03/29/2025,El Transito,Nicaragua,0.1,relaxing yoga session with some breath work after
kizzie yoga,yoga,03/30/2025,El Transito,Nicaragua,0.1,relaxing yoga session with some breath work after
espíritu de la montaña,camping,04/01/2025,La Unión,El Salvador,0.5,"camping on the top of volcán conchagua for the night to enjoy the view of the 3 countries, the stars and the cloud covered sunrise"
labarinto,adventure,04/03/2025,Apaneca,El Salvador,0.1,hedge maze that I finished in 25min. was super fun!
nahuizalco night market,culture,04/03/2025,Nahuizalco,El Salvador,0.25,night market with people from the bambu hostel and the lovely hostel owner luis!
el zonte surfing,surfing,04/09/2025,El Zonte,El Salvador,0.25,morning surf as emotional support and eating sets on my head. luca's extra board
el zonte surfing ,surfing,04/09/2025,El Zonte,El Salvador,0.25,afternoon surf where I caught two not so bad waves. luca's extra board
table mountain ,nature,04/22/2025,Cape Town,South Africa,0.25,"did the walk along table mountain with Deon and Jadon. It was quite windy, nice views though"
penguin sanctuary,wildlife,04/25/2025,Betty's Bay,South Africa,0.25,penguins everywhere waddling! so cute!
garys hungover fishing trip,wildlife,04/27/2025,Kleinbaai,South Africa,1,"I was not hungover - gary was. we caught some fish, and we hung out with a massive pod of common dolphins as the swam with our boat!"
st blaze trail,hiking,05/04/2025,Mosselbaai,South Africa,0.5,lovely walk along the cliffs from pinnacle point to almost mossel bay. walked about 12.5km and ran 3km
vensterberg,hiking,05/05/2025,George,South Africa,0.5,"rochelle and i hiked up to a nice viewpoint just outside of george. it was straight up, but really nice. had an amazing time"
half collared king fisher,hiking,05/07/2025,Wilderness,South Africa,0.25,relaxing walk through the woods listening to birds. pulled myself across a river on a pontoon
robberg,hiking,05/11/2025,Plettenberg,South Africa,0.5,"5 km hike on the robberg peninsula to see the fur seals, dunes and a little island"
the otter trail,hiking,05/12/2025,Stormsrivier,South Africa,5,"an incredible multi day hike along the amazing coast of south africa with beautiful weather, tough uphills and some interesting river crossings. had an amazing time hiking with marco. 45 kms with an extra 3km to get a cold beer"
storms rivier mouth,hiking,05/17/2025,Stormsrivier,South Africa,0.1,a relaxed walk along the river mouth and over the suspension bridges
river kayaking with marco,kayaking,05/18/2025,Wilderness,South Africa,0.1,spent an hour kayaking through a nice calm river with marco - with savannas too
kitchen windows,surfing,05/20/2025,Jefferys Bay,South Africa,0.1,"donned my fancy old wetsuit, rented a hard top longboard and headed out to catch somewaves"
addo elephant park,safari,05/22/2025,Addo,South Africa,0.25,"went for a quick sunset drive, saw some elephants, some bucks and some lions (and almost a car pile up to see them)"
addo full day game drive,safari,05/23/2025,Addo,South Africa,1,"almost 11 hours in the parks searching for everything. saw lots of elephants very close, far away lions, rhinos in the distance, j walking buffalo, tree meerkats, one dung beetle and much more"
tala game reserve,safari,06/05/2025,Umkomaas,South Africa,0.25,"short game drive in a private park. felt like they just dumped all the animals in one spot - saw lots, but it felt unnatural."
sunset walk,hiking,06/06/2025,Injisuthi,South Africa,0.25,short little walk to see the valley. very serene until the baboons came along screaming
van heyningens pass,hiking,06/07/2025,Injisuthi,South Africa,1,nice hike up to a lookout over the valley and the drakensburg. what an amazing view
beach boardwalk,relaxing,06/08/2025,Ballito,South Africa,0.1,walk along the boardwalk in ballito. this town is all white walls and fences. i find it unfriendly
isimangaliso wetlands park game drive,safari,06/11/2025,St Lucia,South Africa,1,"beautiful landscapes and drive. lots of buffalo, and i got within metres of them, but not much else"
imfolozi sunset game drive,safari,06/13/2025,Hluhluwe,South Africa,0.5,"quick drive into the park, saw some game and cute warthogs running around"
imfolozi full day game drive minus one tire,safari,06/14/2025,Hluhluwe,South Africa,1,got to see cheetahs! met some nice people that drove me around for a bit. gave the car a belly rub on  some rocks and sliced the tires up
hluhluwe tar road game drive,safari,06/15/2025,Hluhluwe,South Africa,1,stayed to the tar. right at the beginning of the drive saw a pack of wild dogs on the road. saw lots of nyala and other antelope. saw some elephants from afar.
hluhluwe game drive with the pensioners,safari,06/16/2025,Hluhluwe,South Africa,1,"hopped into a pensioners car for a day drive. did lots of birding, saw a few rhino and got close to lots of buffalo. on the way back to the gate saw the pack of wild dogs again, playing, laying and running around"
hluhluwe drive through,safari,06/17/2025,Hluhluwe,South Africa,0.5,"shorter drive, saw lots of antelope"
imfolozi last chance drive for cheetahs,safari,06/18/2025,Hluhluwe,South Africa,0.5,risked my tires to see three cheetah running about and playing close to the road
tugela gorge trail,hiking,06/25/2025,Bojaneni,South Africa,1,nice trail through a gorge along a river. met a girl along the way and hiked with her
golden gate highlands drive,safari,06/26/2025,Clarens,South Africa,0.25,"beautiful landscapes with red grass on the mountains and stunning rock formatiosn, plus a stop into the dinosaur museum"
game drive to satara,safari,06/30/2025,Kruger,South Africa,1,"hyena roadside, lots of elephants, some cute vervets, munching giraffes and 2 lions laying in the bush"
game drive from satara to lower sabie,safari,07/01/2025,Kruger,South Africa,1,"road blocking giraffe, cute baby elephants at the watering hole, lots of waterbok, kori bustard, lots of zebra bums, monitor lizards and hippos at sunset"
game drive from lower sabie to croc bridge,safari,07/02/2025,Kruger,South Africa,1,"first leopard sighting ever. watched it hunt an injured warthog for 30min. another leopard laying by the river kudu, baboons, some great eagle sightings, some fun hippos in the waterholes, more giraffes munching, and some lions napping after a kill"
game drive around croc bridge,safari,07/03/2025,Kruger,South Africa,1,"fat bellied lions right on the road within feet of my car in the morning. hippos fighting in the water, buffalo and lots of zebra, huge herd of buffalo stampeding to the river, cheetahs laying in the grass, and later running away, ostrich sighting, secretary bird, some southern ground hornbills, a lioness walking along the dam and many elephants"
game drive around croc bridge,safari,07/04/2025,Kruger,South Africa,1,"snoozing mating lions, spoonbills and crocs, closely munching giraffes and elephants, lots of kudu, vervets ripping apart bugs, pajama donkeys. multiple attempts to see leopards with kills. watched some dead animals for a really long time until i finally saw a leopard"
game drive out of park,safari,07/05/2025,Kruger,South Africa,1,"giraffe silhouttes at sunrise, three leopards snoozing, eating a kill and jumping around the tree branches. some more giraffe and buffalo, mongoose and a lot of bird action at a hide"
panoramic route,nature,07/06/2025,Graskop,South Africa,1,hit all the main tourist spots and views on the route. some nice waterfalls and gorgeous view
game drive back into park,safari,07/07/2025,Kruger,South Africa,1,"not much seen, some antelope, kilpspringer and a baby duiker that let us get close"
game drive pretoriuskop to berg en dal,safari,07/08/2025,Kruger,South Africa,1,"leopard walked right in front of our car. some great giraffes, some neck fighting, one drooling, and some wee fresh little babies. some adorable baby hyenas crawling around chewing things, many zebra, more young hyenas walkng along the road, poached rhino getting eaten by hyena and vulture, a leopard with a kill in a tree right above the road"
game drive berg en dal to lower sabie,safari,07/09/2025,Kruger,South Africa,1,"amazing sighting of a rhino pair, more hyena roadside, giraffe, elephant, cute baby zebras and cool eagles, great fish eagel sighting, saw some giraffes trying to mate and some monitor lizards fighting. had a mock elephant charge"
game drive lower sabie to satara,safari,07/10/2025,Kruger,South Africa,1,"big group of marabou stork flying around, big group of buffalo with calves, some big elephants, more hyena pups of varying ages in the ditches, close up with a slender tail mongoose, group of lionesses with a few cubs around sunset"
game drive out of park,safari,07/11/2025,Kruger,South Africa,1,"final glimpses of antelope, elephant and giraffe for a while"
zomba plateau,hiking,07/19/2025,Zomba,Malawi,0.5,"moto taxied up into the mountains and did a loop of the plateau. got a bit lost on the trails, but at some point made our way back down along the main wood collecting route. guys where carrying whole trees down"
rock scrambling,hiking,07/22/2025,Cape Maclear,Malawi,0.5,crawled along the rocks to get a view over the lake. beautiful. but i have never see so much shit in my life. it was everywhere. everywhere.
swim to the island,kayaking,07/24/2025,Cape Maclear,Malawi,0.5,kayaked to a little island while the other took turns swimming. snorkeled with some beautiful colourful fish
ilala ferry,adventure,07/25/2025,Lake Malawi,Malawi,2,"multi day trip from the south of lake malawi to the north sleeping a tent on the top deck. spent the time chatting with friends, meeting locals and embroidering things. meg, moses and laurent joined me. highlights were iris and harold"
cars in the park,culture,08/03/2025,Pretoria,South Africa,0.5,car fair in pretoria with deon and jaden
a day cooking with dorcia,culture,08/05/2025,Maputo,Mozambique,1,"cooked badjias, xiguinha de cacana and pudim with dorcia and emmah"
beach whale watching,wildlife,08/08/2025,Tofo,Mozambique,0.25,binos out and watching humpback whales from the dunes
beach whale watching,wildlife,08/09/2025,Tofo,Mozambique,0.25,binos out and watching humpback whales from the dunes
wusita surfing,surfing,08/11/2025,Tofo,Mozambique,0.25,longboard surfing at the tofo point break
beach whale watching,wildlife,08/13/2025,Tofo,Mozambique,0.1,binos out and watching humpback whales from the dunes
whale kayaking,kayaking,08/14/2025,Tofo,Mozambique,0.25,"urko and i rented a sea kayak to to see some whales up close. was lots of fun but we did almost sink because the kayak was definitely made for one person, not two. surfed it back into shore"
cliff side whaleshark watching,wildlife,08/15/2025,Tofo,Mozambique,0.25,went on a hike in hopes to see whaleshark and very surprisingly found two of them. tried to swim out to them but was not able. 
wusita surfing,surfing,08/15/2025,Tofo,Mozambique,0.25,longboard surfing at the tofo point break
mercado adventure,culture,08/17/2025,Vilankulos,Mozambique,0.25,wandering barefoot through the local market. chatting with random people and learning about different board games they play in mozambique
playing with the stray dogs,relaxing,08/19/2025,Vilankulos,Mozambique,0.1,had a stray dog crew on the beach that i would spend everyday hanging out with and playing with. best part about vilankulos
sand bank visit,relaxing,08/21/2025,Vilankulos,Mozambique,0.1,went for a wade through the water to get to a huge sandbank. snorkeled a bit to see things
fishermen whale watching attempt,wildlife,08/27/2025,Tofo,Mozambique,0.25,bribed some fishermen way too much money to try and swim with whales. the other girl was worst to go with and forced us to go back in early so i didnt get to swim with any. and paid a lot of money. what a waste
wusita surfing,surfing,08/27/2025,Tofo,Mozambique,0.25,longboard surfing at the tofo point break
amandos whale watching adventure,kayaking,08/28/2025,Tofo,Mozambique,0.5,"hopped in a 2 person kayak and paddled for kilometers. followed along with a two adults and a calf and got super close. tried to swim to see some, but wasn't able to because of bad wiz, even though i got close. was an amazing time"
wusita surfing,surfing,08/28/2025,Tofo,Mozambique,0.25,longboard surfing at the tofo point break
mlawula biking,wildlife,09/04/2025,Mbuluzi,Eswatini,0.25,"biked through a game park. saw lots of nyala, wildebees, zebra and some crocs. some of the biking was across cute little bridges"
rhino watching,wildlife,09/05/2025,Hlane,Eswatini,0.25,"hung out all day in the hammock watching over a watering hole with multiple pairs of rhinos around. they came within 10m of us. close to sunset, walked along side them as they left"
rhino watching,wildlife,09/06/2025,Hlane,Eswatini,0.25,"hung out all day in the hammock watching over a watering hole with multiple pairs of rhinos around. they came within 10m of us. close to sunset, walked along side them as they left"
rhino watching,wildlife,09/07/2025,Hlane,Eswatini,0.25,hung out all day in the hammock watching over a watering hole with multiple pairs of rhinos around. big tower of giraffe spent the day close to the camp. some rhino came almost right up to the fence. what a view to play some cards
reed dance festival,culture,09/08/2025,Ludzidzini,Eswatini,0.5,amazing cultural dance festival. met some young swazis and danced with them. met some zulu chiefs and danced with them. only one marriage proposal. ended in torrential rain
highest pub in africa,relaxing,09/13/2025,Sani Pass,Lesotho,0.1,"bought a drink at the highest local pub in africa, crossed the border with it and drank it at the highest actual pub in africa while overlooking sani pass"
boulders beach penguins,wildlife,09/20/2025,Simons Town,South Africa,0.1,penguins everywhere! some boulder crawling required. got really close to them. they are so cute!
kirstenbosch botanical garden,relaxing,09/22/2025,Cape Town,South Africa,0.1,bit of a walk through the botanical gardens. ended up being surprisingly emotional of a time
muizenberg surfing,surfing,09/22/2025,Muizenberg,South Africa,0.25,caught some nasty waves in muizenberg. so much fun. rochelle joined us
