Date,Account,Category,Subcategory,Note,CAD,Income/Expense,Description,Amount,Currency,Account
09/18/2025 7:06:12,Card,🍜 Food,,Groceries and sandwich,3.94,Expense,,53,ZAR,3.94
09/18/2025 7:06:12,Card,👬🏻 Social Life,,Savannas,5.57,Expense,,75,ZAR,5.57
09/18/2025 7:06:12,Card,🧘🏼 Health,,Test,10.33,Expense,,139,ZAR,10.33
09/17/2025 15:00:00,Cash,🍜 Food,,Chuckles,12.63,Expense,,170,ZAR,12.63
09/17/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/17/2025 10:51:16,Cash,🍜 Food,,Dinner stuff,5.13,Expense,,69,ZAR,5.13
09/16/2025 15:00:00,Card,🚖 Transport,,16L of diesel,26.75,Expense,,360,ZAR,26.75
09/16/2025 15:00:00,Card,🚖 Transport,,16L of diesel,26.45,Expense,,356,ZAR,26.45
09/16/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/16/2025 12:11:28,Cash,🍜 Food,,Pizza split,6.91,Expense,,93,ZAR,6.91
09/16/2025 7:36:44,Card,🍜 Food,,Grapetizer + choco,2.23,Expense,,30,ZAR,2.23
09/16/2025 7:20:59,Card,🏠 Accommodation,,Forever resort campsite,12.63,Expense,,170,ZAR,12.63
09/16/2025 6:05:08,Card,🚖 Transport,,Gas,19.17,Expense,,258,ZAR,19.17
09/16/2025 6:04:50,Cash,🍜 Food,,Droewors and biltong split,5.57,Expense,,75,ZAR,5.57
09/16/2025 2:27:58,Cash,🍜 Food,,Snacks,2.53,Expense,,34,ZAR,2.53
09/15/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/15/2025 0:21:29,Cash,🌎 Adventure,,Donkey pub crawl,20.43,Expense,,275,ZAR,20.43
09/15/2025 0:21:29,Card,🏠 Accommodation,,Semonkong campsite,13.38,Expense,,180,ZAR,13.38
09/14/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/14/2025 10:57:06,Card,🏠 Accommodation,,Semonkong campsite,13.38,Expense,,180,ZAR,13.38
09/14/2025 10:57:06,Card,🍜 Food,,Hake dinner,10.4,Expense,,140,ZAR,10.4
09/14/2025 3:56:52,Cash,🍜 Food,,Groceries,7.06,Expense,,95,ZAR,7.06
09/14/2025 3:13:51,Cash,🍜 Food,,Mammas fast food,4.01,Expense,,54,ZAR,4.01
09/14/2025 3:06:48,Card,🚖 Transport,,16.5L,24.89,Expense,,335,ZAR,24.89
09/13/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/13/2025 4:27:05,Cash,🍜 Food,,Groceries,9.14,Expense,,123,ZAR,9.14
09/13/2025 4:27:05,Cash,👬🏻 Social Life,,Highest pub booze,2.38,Expense,,32,ZAR,2.38
09/13/2025 4:27:05,Card,🏠 Accommodation,,Sani pass dorm,11.15,Expense,,150,ZAR,11.15
09/13/2025 4:27:05,Cash,🍜 Food,,Snack lunch,0.82,Expense,,11,ZAR,0.82
09/12/2025 15:00:00,Cash,🍜 Food,,Snacks,3.49,Expense,,47,ZAR,3.49
09/12/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/12/2025 2:48:44,Cash,🏠 Accommodation,,Mamohase Dorm,11.15,Expense,,150,ZAR,11.15
09/12/2025 2:48:44,Card,🍜 Food,,Droewors,8.99,Expense,,121,ZAR,8.99
09/12/2025 2:48:44,Card,👬🏻 Social Life,,5/5gb of data,7.36,Expense,,99,ZAR,7.36
09/12/2025 2:47:45,Card,🚖 Transport,,24.5L diesel,39.75,Expense,,535,ZAR,39.75
09/11/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/11/2025 8:55:39,Card,🚖 Transport,,Uber cancellation,0.74,Expense,,10,ZAR,0.74
09/11/2025 4:49:11,Card,🍜 Food,,Mcdonalds,7.43,Expense,,100,ZAR,7.43
09/11/2025 2:20:11,Cash,🚖 Transport,,Kombi to Joburg,20.06,Expense,,270,ZAR,20.06
09/10/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/10/2025 10:53:55,Cash,🍜 Food,,Dinner grocery split,6.02,Expense,,81,ZAR,6.02
09/10/2025 6:54:33,Card,🍜 Food,,Snacks,2.53,Expense,,34,ZAR,2.53
09/10/2025 6:54:21,Cash,🍜 Food,,Pastel de nata,1.49,Expense,,20,ZAR,1.49
09/10/2025 6:28:23,Cash,🎁 Gift,,Bead bracelet,3.72,Expense,,50,ZAR,3.72
09/10/2025 6:28:03,Card,🍜 Food,,ShopRite Lunch,2.38,Expense,,32,ZAR,2.38
09/10/2025 6:27:51,Cash,🎁 Gift,,Bead patch,3.72,Expense,,50,ZAR,3.72
09/10/2025 5:01:08,Card,🎁 Gift,,Fabric 1m,6.32,Expense,,85,ZAR,6.32
09/10/2025 3:54:05,Card,🍜 Food,,Icecream,1.19,Expense,,16,ZAR,1.19
09/10/2025 3:54:05,Card,🏠 Accommodation,,Legends campsite,11.52,Expense,,155,ZAR,11.52
09/09/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/09/2025 6:14:33,Card,🏠 Accommodation,,Legends campsite,11.52,Expense,,155,ZAR,11.52
09/09/2025 6:14:11,Card,🌎 Adventure,,Mantenga cultural village,11.15,Expense,,150,ZAR,11.15
09/09/2025 0:59:59,Card,🍜 Food,,Breakfast lunch split,11.29,Expense,,152,ZAR,11.29
09/08/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/08/2025 12:14:22,Card,🍜 Food,,Pizza split,8.17,Expense,,110,ZAR,8.17
09/08/2025 8:07:15,Cash,🚖 Transport,,Kombi to Reed dance,0.74,Expense,,10,ZAR,0.74
09/08/2025 4:43:24,Card,🍜 Food,,Lunch,4.61,Expense,,62,ZAR,4.61
09/08/2025 3:02:41,Card,🏠 Accommodation,,Legends campsite,11.52,Expense,,155,ZAR,11.52
09/07/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/07/2025 10:35:27,Cash,🍜 Food,,Coke,1.71,Expense,,23,ZAR,1.71
09/07/2025 6:42:44,Card,🏠 Accommodation,,Hlane campsite,12.63,Expense,,170,ZAR,12.63
09/06/2025 15:00:00,Card,🍜 Food,,Double kiddie plate lunch,10.03,Expense,,135,ZAR,10.03
09/06/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/06/2025 11:14:44,Cash,🖼 Culture,,Swazi dance group,1.86,Expense,,25,ZAR,1.86
09/06/2025 1:48:17,Card,🍜 Food,,Groceries split,13.75,Expense,,185,ZAR,13.75
09/06/2025 1:47:15,Cash,🎁 Gift,,Hlane sticker,1.49,Expense,,20,ZAR,1.49
09/06/2025 1:47:15,Card,🏠 Accommodation,,Hlane campsite,12.63,Expense,,170,ZAR,12.63
09/05/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/04/2025 15:00:00,Card,🍜 Food,,Groceries split,13.75,Expense,,185,ZAR,13.75
09/04/2025 15:00:00,Card,🏠 Accommodation,,Hlane campsite,12.63,Expense,,170,ZAR,12.63
09/04/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/04/2025 9:51:07,Cash,🍜 Food,,Groceries split,8.47,Expense,,114,ZAR,8.47
09/04/2025 6:35:05,Card,🏠 Accommodation,,Mbuluzi rest camp,11.15,Expense,,150,ZAR,11.15
09/04/2025 4:52:37,Cash,🌎 Adventure,,Biking mlawula,14.86,Expense,,200,ZAR,14.86
09/03/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/03/2025 9:51:11,Cash,🍜 Food,,Groceries split,8.17,Expense,,110,ZAR,8.17
09/03/2025 6:35:09,Card,🏠 Accommodation,,Mbuluzi rest camp,11.15,Expense,,150,ZAR,11.15
09/02/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/02/2025 1:51:09,Cash,🍜 Food,,Groceries split,8.17,Expense,,110,ZAR,8.17
09/02/2025 1:51:09,Card,🏠 Accommodation,,Mbuluzi rest camp,11.15,Expense,,150,ZAR,11.15
09/02/2025 1:51:09,Cash,🚖 Transport,,Kombi to mapivenhi,1.49,Expense,,20,ZAR,1.49
09/02/2025 1:51:09,Cash,🍜 Food,,Castanhas,2.15,Expense,,100,MZN,2.15
09/02/2025 1:46:13,Cash,🚖 Transport,,Chapa to namaacha frontera,4.95,Expense,,230,MZN,4.95
09/02/2025 1:39:03,Cash,🍜 Food,,Peanuts,0.86,Expense,,40,MZN,0.86
09/01/2025 23:00:19,Cash,🚖 Transport,,Ponta do ouro to Maputo bus,3.23,Expense,,150,MZN,3.23
09/01/2025 23:00:07,Cash,🍜 Food,,Pão 2x,0.54,Expense,,25,MZN,0.54
09/01/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
09/01/2025 9:07:36,Cash,🏠 Accommodation,,Underwater explorer safari tent,12.93,Expense,,600,MZN,12.93
09/01/2025 7:00:05,Cash,🍜 Food,,Ramen noodles,2.35,Expense,,109,MZN,2.35
09/01/2025 7:00:05,Cash,🎁 Gift,,Peri peri,2.15,Expense,,100,MZN,2.15
09/01/2025 6:12:25,Cash,🍜 Food,,Waffle w chocolate,7.11,Expense,,330,MZN,7.11
08/31/2025 22:05:42,Card,🌎 Adventure,,Ponta do ouro shark dive,92.63,Expense,,4300,MZN,92.63
08/31/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/31/2025 7:10:44,Cash,🍜 Food,,Ms balls Simba chips,2.05,Expense,,95,MZN,2.05
08/31/2025 6:59:44,Cash,🍜 Food,,Cabecinhas de lulas,6.46,Expense,,300,MZN,6.46
08/31/2025 6:22:30,Cash,🚖 Transport,,Amando ride to ponta,10.77,Expense,,500,MZN,10.77
08/31/2025 3:01:58,Cash,🏠 Accommodation,,Underwater explorer safari tent,12.93,Expense,,600,MZN,12.93
08/31/2025 3:01:46,Cash,🍜 Food,,Cookies and shit crackers,2.8,Expense,,130,MZN,2.8
08/31/2025 2:15:53,Cash,🚖 Transport,,Fatima's bus to maputo,26.93,Expense,,1250,MZN,26.93
08/30/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/30/2025 11:25:43,Cash,🍜 Food,,Cadirs dinner,4.31,Expense,,200,MZN,4.31
08/30/2025 9:51:47,Cash,👬🏻 Social Life,,Phone plan,2.15,Expense,,100,MZN,2.15
08/30/2025 1:03:34,Cash,🍜 Food,,Denisias cake,6.46,Expense,,300,MZN,6.46
08/30/2025 1:03:31,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/30/2025 1:03:20,Cash,🍜 Food,,Coconut,0.65,Expense,,30,MZN,0.65
08/30/2025 1:03:08,Cash,🎁 Gift,,James necklace and bracelet,3.23,Expense,,150,MZN,3.23
08/29/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/29/2025 12:35:21,Cash,🍜 Food,,Sumi rainbow roll,14,Expense,Ehhh,650,MZN,14
08/29/2025 9:48:37,Cash,🍜 Food,,Cookies for the boys,2.59,Expense,,120,MZN,2.59
08/29/2025 5:18:21,Cash,🍜 Food,,Clementines x6,0.65,Expense,,30,MZN,0.65
08/29/2025 5:18:09,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/29/2025 5:18:05,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/29/2025 5:17:40,Card,💄 Beauty,,Coconut oil for hair,2.99,Expense,,139,MZN,2.99
08/28/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/28/2025 9:53:11,Cash,🌎 Adventure,,Surf board rental,6.46,Expense,,300,MZN,6.46
08/28/2025 9:53:01,Cash,🍜 Food,,Cadirs dinner,4.31,Expense,,200,MZN,4.31
08/28/2025 9:52:55,Cash,🍜 Food,,Fanta,0.54,Expense,,25,MZN,0.54
08/28/2025 4:30:47,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/28/2025 4:30:37,Cash,🍜 Food,,Coconut,0.65,Expense,,30,MZN,0.65
08/28/2025 4:30:28,Cash,🍜 Food,,Bolinhos for the boys,0.54,Expense,,25,MZN,0.54
08/28/2025 4:30:12,Cash,🍜 Food,,Clementines x4,0.43,Expense,,20,MZN,0.43
08/28/2025 4:30:02,Cash,🌎 Adventure,,Kayaking with amando,10.77,Expense,,500,MZN,10.77
08/27/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/27/2025 9:39:46,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/27/2025 9:39:32,Cash,🌎 Adventure,,Surf board rental,6.46,Expense,,300,MZN,6.46
08/27/2025 9:39:20,Cash,🍜 Food,,Pasta,0.86,Expense,,40,MZN,0.86
08/27/2025 9:39:08,Cash,🍜 Food,,Bolinhos 3x,0.43,Expense,,20,MZN,0.43
08/27/2025 9:38:56,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/27/2025 3:46:36,Cash,🌎 Adventure,,Fishermens whale watching attempt,45.24,Expense,,2100,MZN,45.24
08/26/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/25/2025 15:00:00,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/25/2025 15:00:00,Cash,🌎 Adventure,,Pansy island tour,53.85,Expense,,2500,MZN,53.85
08/25/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/25/2025 13:06:44,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/25/2025 11:21:02,Cash,🍜 Food,,Mandarins,1.08,Expense,,50,MZN,1.08
08/25/2025 11:20:47,Cash,🍜 Food,,Badjias con pão 2x,1.08,Expense,,50,MZN,1.08
08/25/2025 0:10:48,Cash,🍜 Food,,Groceries for dinner,1.29,Expense,,60,MZN,1.29
08/24/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/24/2025 11:20:19,Cash,🍜 Food,,Cadirs dinner,4.31,Expense,,200,MZN,4.31
08/24/2025 4:46:51,Card,👬🏻 Social Life,,2M 3x,4.09,Expense,,190,MZN,4.09
08/24/2025 4:46:51,Cash,🚖 Transport,,Ferry to inhambane,0.43,Expense,,20,MZN,0.43
08/24/2025 4:46:38,Cash,🚖 Transport,,Chapa to maxiexie,8.62,Expense,,400,MZN,8.62
08/24/2025 0:32:47,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/24/2025 0:32:35,Cash,🍜 Food,,Bolinhos 4x,0.43,Expense,,20,MZN,0.43
08/23/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/23/2025 10:15:13,Cash,👬🏻 Social Life,,Money to pedro,7.54,Expense,,350,MZN,7.54
08/23/2025 10:15:13,Cash,🍜 Food,,Zitas soup,2.15,Expense,,100,MZN,2.15
08/23/2025 10:15:01,Cash,🍜 Food,,Water bottle,1.08,Expense,,50,MZN,1.08
08/23/2025 8:23:27,Cash,🎁 Gift,,Pants for bros,5.39,Expense,,250,MZN,5.39
08/23/2025 8:23:18,Cash,🍜 Food,,Bolinhos 3x,0.32,Expense,,15,MZN,0.32
08/23/2025 8:23:15,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/22/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/22/2025 13:00:37,Cash,🍜 Food,,Peixe do pedra,12.93,Expense,,600,MZN,12.93
08/22/2025 9:50:12,Cash,🎁 Gift,,Capulano,4.31,Expense,,200,MZN,4.31
08/22/2025 9:49:12,Cash,🌎 Adventure,,Sunset fisherman's dhow,21.54,Expense,,1000,MZN,21.54
08/22/2025 9:49:12,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/22/2025 9:47:40,Cash,🍜 Food,,Soft drinks,1.51,Expense,,70,MZN,1.51
08/22/2025 9:47:19,Cash,🎁 Gift,,Short for bros,6.46,Expense,,300,MZN,6.46
08/22/2025 9:47:16,Cash,🎁 Gift,,Bucket hat,4.31,Expense,,200,MZN,4.31
08/22/2025 6:00:08,Cash,🎁 Gift,,Bucket hat,4.31,Expense,,200,MZN,4.31
08/22/2025 5:59:37,Cash,🍜 Food,,Bolo,0.22,Expense,,10,MZN,0.22
08/22/2025 5:59:17,Cash,🍜 Food,,Apple,0.54,Expense,,25,MZN,0.54
08/22/2025 5:58:43,Cash,🍜 Food,,Bolinhos 4x,0.43,Expense,,20,MZN,0.43
08/21/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/21/2025 13:20:11,Cash,🍜 Food,,Dinner pizza,10.49,Expense,,487,MZN,10.49
08/21/2025 9:40:31,Cash,🍜 Food,,Lunch at the mercado,4.31,Expense,,200,MZN,4.31
08/21/2025 9:40:26,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/20/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/20/2025 7:56:54,Cash,🍜 Food,,Tangerines 6x,0.43,Expense,,20,MZN,0.43
08/20/2025 7:56:51,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/20/2025 7:56:13,Cash,🎁 Gift,,Capulano,5.39,Expense,,250,MZN,5.39
08/20/2025 7:55:34,Cash,🍜 Food,,Bolinhos 3x,0.32,Expense,,15,MZN,0.32
08/19/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/19/2025 10:43:18,Card,🌎 Adventure,,Bazaruto island tour,118.48,Expense,,5500,MZN,118.48
08/19/2025 8:11:52,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/18/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/18/2025 11:08:52,Cash,🍜 Food,,Water + wafers,2.05,Expense,,95,MZN,2.05
08/18/2025 10:43:03,Cash,🍜 Food,,Goat and rice,5.49,Expense,,255,MZN,5.49
08/18/2025 9:49:02,Card,🏠 Accommodation,,Bush beach camping,6.46,Expense,,300,MZN,6.46
08/18/2025 8:14:01,Cash,🍜 Food,,Spaghetti with chicken,3.88,Expense,,180,MZN,3.88
08/18/2025 8:13:45,Cash,🍜 Food,,Tangerines 6x,0.43,Expense,,20,MZN,0.43
08/18/2025 8:13:29,Cash,🎁 Gift,,Special tote bags 2x,6.46,Expense,,300,MZN,6.46
08/18/2025 8:13:07,Cash,🎁 Gift,,Capulanus 2x,10.77,Expense,,500,MZN,10.77
08/17/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/17/2025 9:17:15,Cash,🍜 Food,,Coconuts 2x,1.08,Expense,,50,MZN,1.08
08/17/2025 9:17:15,Cash,🍜 Food,,Sopa,2.15,Expense,,100,MZN,2.15
08/17/2025 1:14:34,Card,🏠 Accommodation,,Bush beach dorm,10.77,Expense,,500,MZN,10.77
08/17/2025 1:14:34,Cash,🍜 Food,,Badjias con pão 2x,1.08,Expense,,50,MZN,1.08
08/17/2025 0:06:29,Cash,🪑 Household,,Visa card Fee,3.55,Expense,,165,MZN,3.55
08/16/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/16/2025 5:05:19,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/16/2025 5:05:47,Cash,🎁 Gift,,Patch painting thing,3.66,Expense,,170,MZN,3.66
08/16/2025 5:05:19,Cash,🍜 Food,,Badjias con pão 2x,1.08,Expense,,50,MZN,1.08
08/16/2025 5:04:46,Card,🌎 Adventure,,Ocean safari w Tofo scuba,71.09,Expense,,3300,MZN,71.09
08/15/2025 23:54:10,Cash,🎁 Gift,,Patchwork patch,4.31,Expense,,200,MZN,4.31
08/15/2025 23:53:45,Cash,🍜 Food,,Cachupa at denisias,7.97,Expense,,370,MZN,7.97
08/15/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/15/2025 4:35:58,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/15/2025 4:35:58,Cash,🌎 Adventure,,Surf rental,6.46,Expense,,300,MZN,6.46
08/15/2025 4:35:41,Cash,🍜 Food,,Cinnamon bun,3.23,Expense,,150,MZN,3.23
08/15/2025 4:35:31,Cash,🍜 Food,,Clementines x5,0.54,Expense,,25,MZN,0.54
08/14/2025 15:06:49,Cash,🍜 Food,,Dinner with the Spanish,5.39,Expense,,250,MZN,5.39
08/14/2025 15:00:00,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/14/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/14/2025 13:15:15,Cash,🍜 Food,,Cake,5.39,Expense,,250,MZN,5.39
08/14/2025 13:15:05,Cash,🍜 Food,,Pão,0.22,Expense,,10,MZN,0.22
08/14/2025 13:14:58,Cash,🍜 Food,,Soup,2.15,Expense,,100,MZN,2.15
08/14/2025 8:13:46,Cash,🌎 Adventure,,Kayak rental,17.23,Expense,,800,MZN,17.23
08/14/2025 8:13:32,Cash,🍜 Food,,Badjias con pão 2x,1.08,Expense,,50,MZN,1.08
08/14/2025 8:13:18,Cash,🍜 Food,,Clementines x8,0.86,Expense,,40,MZN,0.86
08/14/2025 0:38:21,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/13/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/13/2025 11:35:01,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/13/2025 11:35:01,Cash,🍜 Food,,Fanta,0.54,Expense,,25,MZN,0.54
08/13/2025 11:35:01,Cash,🍜 Food,,Cadirs dinner,4.31,Expense,,200,MZN,4.31
08/13/2025 8:04:33,Card,🌎 Adventure,,Peri Peri deep dives w nitrox,151.65,Expense,,7040,MZN,151.65
08/13/2025 0:38:40,Cash,🍜 Food,,Pão de agua 2x,0.43,Expense,,20,MZN,0.43
08/12/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/12/2025 11:34:36,Cash,🍜 Food,,James dinner,5.39,Expense,,250,MZN,5.39
08/12/2025 8:17:42,Cash,🍜 Food,,Pão de agua 2x,0.39,Expense,,18,MZN,0.39
08/12/2025 8:17:42,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/12/2025 8:17:37,Cash,🍜 Food,,Clementines x10,0.65,Expense,,30,MZN,0.65
08/12/2025 8:17:24,Cash,🍜 Food,,Clementines x3,0.65,Expense,,30,MZN,0.65
08/12/2025 8:17:09,Cash,🍜 Food,,Cinnamon bun,3.23,Expense,,150,MZN,3.23
08/12/2025 8:04:15,Card,🌎 Adventure,,Ocean safari,64.63,Expense,,3000,MZN,64.63
08/11/2025 21:28:53,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/11/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/11/2025 8:05:16,Cash,🌎 Adventure,,Surf board rental (2hrs),6.46,Expense,,300,MZN,6.46
08/10/2025 21:29:07,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/10/2025 21:29:07,Cash,🍜 Food,,Fanta,0.54,Expense,,25,MZN,0.54
08/10/2025 21:29:07,Cash,🍜 Food,,Cadirs dinner,4.31,Expense,,200,MZN,4.31
08/10/2025 15:00:00,Cash,🍜 Food,,Badjias con pão,0.54,Expense,,25,MZN,0.54
08/10/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/10/2025 12:53:01,Card,🌎 Adventure,,Peri Peri deep dives w nitrox,180.95,Expense,,8400,MZN,180.95
08/10/2025 12:53:01,Cash,🍜 Food,,"Meat, beans and rice",4.31,Expense,,200,MZN,4.31
08/10/2025 12:52:49,Card,🍜 Food,,Sweets,2.48,Expense,,115,MZN,2.48
08/10/2025 12:52:28,Card,🏠 Accommodation,,Laheni dorm,16.16,Expense,,750,MZN,16.16
08/09/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/09/2025 13:52:10,Cash,🍜 Food,,"Frango, feijão, arroz",4.31,Expense,,200,MZN,4.31
08/09/2025 8:08:38,Cash,🍜 Food,,Fanta,0.54,Expense,,25,MZN,0.54
08/08/2025 23:56:12,Cash,🍜 Food,,Badjias con pão 3x,1.83,Expense,,85,MZN,1.83
08/08/2025 23:56:12,Card,🏠 Accommodation,,Kit surf hostel,15.08,Expense,,700,MZN,15.08
08/08/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
08/08/2025 9:48:57,Cash,🍜 Food,,Badjias con pão 2x,1.4,Expense,,65,MZN,1.4
08/08/2025 6:51:59,Cash,🍜 Food,,Matapa + frango + arroz + fanta,4.85,Expense,,225,MZN,4.85
08/08/2025 6:51:35,Cash,🍜 Food,,Fanta,0.54,Expense,,25,MZN,0.54
08/08/2025 3:12:02,Card,🏠 Accommodation,,Kit surf hostel,15.08,Expense,,700,MZN,15.08
08/07/2025 15:00:00,Card,🤑 Allowance,,,60,Income,,60,CAD,60
