date,total_num_transports,primary_transport,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,novelty_flag,activity_type
2024-04-13,1.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
2024-04-14,1.0,2.0,0.0,5.0,8.0,0.0,1.0,1.0,2.0
2024-04-15,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0
2024-04-16,2.0,3.0,0.5833333333333334,6.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,2.0,2.0,0.0,0.25,2.0,1.0,0.0,1.0,2.0
2024-04-18,2.0,3.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0
2024-04-19,1.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0
2024-04-21,2.0,2.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0
2024-04-22,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0
2024-04-25,2.0,3.0,0.0,4.0,8.0,1.0,0.0,1.0,2.0
2024-04-26,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0
2024-04-27,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0
2024-04-29,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,4.0
2024-04-30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2024-05-01,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0
2024-05-02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2024-05-07,2.0,3.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0
2024-05-08,2.0,3.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0
2024-05-09,1.0,3.0,0.0,4.5,4.0,0.0,1.0,1.0,5.0
2024-05-11,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,2.0,3.0,0.9523809523809523,5.25,2.0,1.0,0.0,1.0,1.0
2024-05-15,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
2024-05-16,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0
2024-05-17,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
2024-05-18,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0
2024-05-20,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,2.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024-05-23,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,2.0,4.0,0.0,2.0,8.0,0.0,1.0,1.0,2.0
2024-05-25,2.0,2.0,0.0,0.75,8.0,0.0,1.0,1.0,2.0
2024-05-27,1.0,4.0,0.0,6.0,8.0,0.0,1.0,1.0,2.0
2024-05-28,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-05-29,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-05-30,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-05-31,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-06-01,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-06-02,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-06-03,1.0,4.0,0.0,6.0,8.0,0.0,1.0,0.0,2.0
2024-06-04,1.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2024-06-10,1.0,3.0,0.0,5.0,4.0,0.0,1.0,1.0,2.0
2024-06-11,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,1.0,3.0,0.0,13.0,3.0,1.0,1.0,1.0,5.0
2024-06-15,2.0,3.0,0.0,5.0,8.0,1.0,0.0,1.0,2.0
2024-06-17,1.0,2.0,0.0,2.5,8.0,1.0,0.0,1.0,2.0
2024-06-18,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0
2024-06-19,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0
2024-06-20,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0
2024-06-21,1.0,2.0,0.0,7.0,8.0,1.0,0.0,1.0,2.0
2024-06-23,2.0,4.0,0.0,3.75,12.0,1.0,1.0,1.0,2.0
2024-06-25,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0
2024-06-28,1.0,3.0,0.0,6.0,8.0,1.0,0.0,1.0,2.0
2024-06-29,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0
2024-06-30,1.0,3.0,0.0,6.0,8.0,1.0,0.0,0.0,2.0
